path,year,hatchery,length,mass,date,flow
0,2010,0,167,42,131,343
0,2010,0,170,44,132,314
0,2010,0,170,43,131,343
0,2010,0,176,43,125,311
0,2011,0,135,24,141,1113
1,2010,0,165,43,133,256
0,2010,0,179,59,131,343
0,2006,0,183,57,129,388
1,2006,0,191,62,129,388
0,2010,0,167,43,127,286
0,2010,0,186,58,127,286
0,2010,0,167,45,133,256
0,2010,0,171,50,133,256
0,2006,0,195,67,129,388
0,2010,0,182,57,134,258
0,2010,0,180,52,134,258
0,2011,0,147,28,139,1320
