year,region,country,sex,number
1994,South-East Asia,Bangladesh,Female,61.2
1995,South-East Asia,Bangladesh,Female,58.6
1995,South-East Asia,Indonesia,Female,25.2
1996,South-East Asia,Bangladesh,Female,56.9
1996,South-East Asia,Nepal,Female,42.5
1996,South-East Asia,Bangladesh,Female,53
1997,South-East Asia,Maldives,Female,31.2
1997,South-East Asia,Nepal,Female,37.5
1998,South-East Asia,India,Female,43.8
1998,South-East Asia,Bangladesh,Female,52.8
1998,South-East Asia,Indonesia,Female,22.8
1999,South-East Asia,Bhutan,Female,11.5
1999,South-East Asia,Bangladesh,Female,43.2
1999,South-East Asia,Bangladesh,Female,50.5
1999,South-East Asia,Indonesia,Female,21.1
2000,South-East Asia,Sri Lanka,Female,23.8
2000,South-East Asia,Bangladesh,Female,47.3
2000,South-East Asia,Indonesia,Female,18.4
2000,South-East Asia,Indonesia,Female,23.8
2000,South-East Asia,Myanmar,Female,28.5
2001,South-East Asia,Nepal,Female,43.7
2001,South-East Asia,Indonesia,Female,22.4
2001,South-East Asia,Maldives,Female,26
2001,South-East Asia,Bangladesh,Female,44.5
2001,South-East Asia,Indonesia,Female,20.3
2002,South-East Asia,Democratic People's Republic of Korea,Female,16.2
2002,South-East Asia,Bangladesh,Female,43.1
2002,South-East Asia,Indonesia,Female,20.7
2002,South-East Asia,Timor-Leste,Female,38.1
2003,South-East Asia,Myanmar,Female,28.2
2003,South-East Asia,Bangladesh,Female,41.3
2003,South-East Asia,Indonesia,Female,20.6
2004,South-East Asia,Bangladesh,Female,40.7
2004,South-East Asia,Bangladesh,Female,42.7
2004,South-East Asia,Indonesia,Female,18.7
2005,South-East Asia,Bangladesh,Female,39.5
2005,South-East Asia,Indonesia,Female,21.9
2005,South-East Asia,India,Female,43.9
2005,South-East Asia,Thailand,Female,7.1
2006,South-East Asia,Sri Lanka,Female,20.4
2006,South-East Asia,Nepal,Female,39.8
2006,South-East Asia,Bangladesh,Female,40.4
2007,South-East Asia,Indonesia,Female,18.6
2007,South-East Asia,Timor-Leste,Female,44.5
2007,South-East Asia,Bangladesh,Female,42.4
2008,South-East Asia,Bhutan,Female,10.3
2009,South-East Asia,Maldives,Female,17.2
2009,South-East Asia,Timor-Leste,Female,43.7
2009,South-East Asia,Sri Lanka,Female,21.6
2009,South-East Asia,Myanmar,Female,22.1
2009,South-East Asia,Democratic People's Republic of Korea,Female,18.8
