date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/7/2009,Hayden Creek,457,879,Male,Ripe,1
4/12/2009,Leatherstocking Creek,457,,Male,Ripe,1
4/15/2013,Hayden Creek,457,,Male,Ripe,1
4/16/2013,Hayden Creek,457,,Male,Ripe,1
4/18/2013,Shadow Brook,457,,Male,Ripe,1
4/10/2017,Shadow Brook,457,,Male,Ripe,1
4/11/2017,Shadow Brook,457,,Male,Ripe,1
4/11/2017,Shadow Brook,457,,Male,Ripe,1
4/13/2017,Cripple Creek,457,,Male,Ripe,1
4/17/2018,Shadow Brook,457,864,Male,Ripe,1
4/5/2009,Hayden Creek,458,,Male,Ripe,1
4/7/2009,Hayden Creek,458,1020,Male,Ripe,1
4/12/2009,Hayden Creek,458,,Male,Ripe,1
4/16/2009,Cripple Creek,458,,Male,Ripe,1
4/16/2009,Cripple Creek,458,,Male,Ripe,1
4/16/2009,Cripple Creek,458,,Male,Ripe,1
4/18/2009,Shadow Brook,458,,Male,Ripe,1
4/16/2013,Hayden Creek,458,,Male,Ripe,1
4/17/2013,Shadow Brook,458,,Male,Ripe,1
4/18/2013,Shadow Brook,458,,Male,Ripe,1
4/21/2013,Shadow Brook,458,,Male,Ripe,1
4/7/2009,Shadow Brook,459,936,Male,Ripe,1
4/9/2009,Hayden Creek,459,936,Male,Ripe,1
4/16/2009,Cripple Creek,459,,Male,Ripe,1
4/17/2009,Cripple Creek,459,,Male,Ripe,1
4/15/2013,Shadow Brook,459,,Male,Ripe,1
4/16/2013,Hayden Creek,459,,Male,Ripe,1
4/18/2013,Shadow Brook,459,,Male,Ripe,1
4/18/2013,Shadow Brook,459,,Male,Ripe,1
4/10/2017,Hayden Creek,459,,Male,Ripe,1
4/12/2017,Shadow Brook,459,,Male,Ripe,1
4/12/2017,Shadow Brook,459,,Male,Ripe,1
4/13/2017,Cripple Creek,459,,Male,Ripe,1
4/12/2009,Hayden Creek,460,,Male,Ripe,1
4/17/2009,Cripple Creek,460,,Male,Ripe,1
4/17/2009,Shadow Brook,460,,Male,Ripe,1
4/17/2013,Shadow Brook,460,,Male,Ripe,1
4/12/2017,Shadow Brook,460,,Male,Ripe,1
4/17/2017,Shadow Brook,460,,unk,unk,1
4/19/2018,Shadow Brook,460,874,Male,Ripe,1
4/23/2018,Hayden Creek,460,,Male,Ripe,1
4/25/2019,Cripple Creek,460,,Male,Ripe,1
4/5/2009,Shadow Brook,461,,Male,Ripe,1
4/10/2009,Hayden Creek,461,,Male,Ripe,1
4/12/2009,Leatherstocking Creek,461,,Male,Ripe,1
